source_file,unit_type,unit_index,pymupdf_table_count,table_like_score,numeric_count,percent_count,currency_count,snippet
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,37,1,24,35,22,0,Dream Deck A10人群画像分析-基础属性-所在行业 所在行业 占比 北京市大盘 TGI 建筑地产 6.46% 159 IT互联网 8.81% 96 金融 8.04% 99 媒体/文化传媒/公关 7.58% 102 公务员 6.41% 108 生活服务 6.72% 102 教育 7.72% 86 贸易/批发/零售 5.29% 103 法律 5.47% 96 石油/化工/矿产/地质/能源 5.39% 93 10.27% 8.51%
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,38,1,24,28,12,0,Dream Deck A10人群画像分析-基础属性-人生阶段 0 10 20 30 40 50 60 70 上班族 自由职业 中学生 退休 大学生 人生阶段 占比 北京市大盘 TGI 上班族 63.90% 39.86% 160 自由职业 23.36% 37.11% 62 中学生 5.27% 8.06% 65 退休 3.96% 7.72% 51 大学生 3.51% 7.24% 48 20221023-20231022期间到访“城市绿心公园
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,39,1,24,70,18,0,Dream Deck A10人群画像分析-基础属性-年龄 0 5 10 15 20 25 30 31-35 36-40 46-60 25-30 41-45 18-24 0-17 61以上 年龄 占比 北京市大盘 TGI 31-35 24.71% 17.29% 142 36-40 18.25% 11.46% 159 46-60 15.99% 18.67% 85 25-30 15.12% 16.71% 90 41-45 9.89% 7.70
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,40,1,24,33,16,0,Dream Deck A10人群画像分析-基础属性-学历 0 10 20 30 40 50 60 本科 初中 高中 小学 大专 硕士 博士 学历 占比 北京市大盘 TGI 本科 49.04% 46.60% 105 初中 15.27% 16.88% 90 高中 10.91% 12.46% 87 小学 10.05% 9.39% 106 大专 6.80% 7.52% 90 硕士 6.61% 5.72% 115 博士 1.31% 1.42% 9
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,41,1,24,65,16,0,Dream Deck A10人群画像分析-基础属性-职住距离 0 2 4 6 8 10 12 14 16 18 20 1公里内 1-3公里 15-25公里5-10公里 3-5公里 10-15公里25-40公里 职住距离 占比 北京市大盘 TGI 1公里内 18.87% 25.29% 74 1-3公里 17.71% 18.57% 95 15-25公里 16.20% 11.72% 138 5-10公里 15.89% 17.37% 91 3-
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,42,1,22,14,8,0,Dream Deck A10人群画像分析-基础属性-婚育状态 婚育状态 占比 北京市大盘 TGI 已育 49.17% 141 未婚 48.50% 58 已婚未育 2.33% 86 69.49% 28.51% 2.00% 20221023-20231022期间到访“城市绿心公园”的流动人口中，婚育状态“已育”的占比最高， 为69.49%（北京市婚育状态“已育”占比49.17%）。
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,43,1,22,14,11,0,Dream Deck A10人群画像分析-基础属性-常驻区县V2 常驻区县V2 占比 北京市-北京市-通州区 北京市-北京市-朝阳区 北京市-北京市-海淀区 北京市-北京市-大兴区 北京市-北京市-丰台区 北京市-北京市-顺义区 河北省-廊坊市-三河市 北京市-北京市-西城区 北京市-北京市-昌平区 北京市-北京市-东城区 37.38% 17.47% 3.86% 3.75% 3.29% 2.77% 2.76% 2.16% 1.99% 1
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,44,1,20,14,11,0,Dream Deck A10人群画像分析-基础属性-活跃商圈v2 活跃商圈v2 人群覆盖度 临河里-北京市 九棵树-北京市 玉桥-北京市 梨园-北京市 潞邑-北京市 武夷花园-北京市 新华东街-北京市 通州北苑-北京市 通州北关-北京市 文景-北京市 13.05% 11.45% 9.32% 7.96% 6.63% 6.49% 5.92% 5.68% 4.31% 3.65% 20221023-20231022期间到访“城市绿心公园”的流动
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,45,1,22,14,11,0,Dream Deck A10人群画像分析-基础属性-在读学校 在读学校 占比 中国人民大学东校区 北京工业大学 中国传媒大学 北京物资学院 北京现代音乐研修学院 北京工商大学嘉华学院 清华大学 北京林业大学 燕京理工学院 首都师范大学 7.91% 3.57% 3.28% 3.23% 2.96% 2.06% 2.06% 1.86% 1.59% 1.53% 20221023-20231022期间到访“城市绿心公园”的流动人口中，在读学校“中
20_raw_data/pdf/城市绿心公园区域大数据分析报告-20221023-20231022(1).pdf,page,46,1,22,14,11,0,Dream Deck A10人群画像分析-基础属性-常驻省份 常驻省份 占比 北京市 河北省 天津市 山东省 河南省 内蒙古自治区 辽宁省 山西省 江苏省 广东省 77.20% 10.26% 1.85% 1.43% 1.28% 0.77% 0.76% 0.63% 0.62% 0.60% 20221023-20231022期间到访“城市绿心公园”的流动人口中，常驻省份“北京市”的占比最 高，为77.20%。
